State,Region,Division,Area
Alabama,South,East South Central,51609
Alaska,West,Pacific,589757
Arizona,West,Mountain,113909
Arkansas,South,West South Central,53104
California,West,Pacific,158693
Colorado,West,Mountain,104247
Connecticut,Northeast,New England,5009
Delaware,South,South Atlantic,2057
Florida,South,South Atlantic,58560
Georgia,South,South Atlantic,58876
Hawaii,West,Pacific,6450
Idaho,West,Mountain,83557
Illinois,North Central,East North Central,56400
Indiana,North Central,East North Central,36291
Iowa,North Central,West North Central,56290
Kansas,North Central,West North Central,82264
Kentucky,South,East South Central,40395
Louisiana,South,West South Central,48523
Maine,Northeast,New England,33215
Maryland,South,South Atlantic,10577
Massachusetts,Northeast,New England,8257
Michigan,North Central,East North Central,58216
Minnesota,North Central,West North Central,84068
Mississippi,South,East South Central,47716
Missouri,North Central,West North Central,69686
Montana,West,Mountain,147138
Nebraska,North Central,West North Central,77227
Nevada,West,Mountain,110540
New Hampshire,Northeast,New England,9304
New Jersey,Northeast,Middle Atlantic,7836
New Mexico,West,Mountain,121666
New York,Northeast,Middle Atlantic,49576
North Carolina,South,South Atlantic,52586
North Dakota,North Central,West North Central,70665
Ohio,North Central,East North Central,41222
Oklahoma,South,West South Central,69919
Oregon,West,Pacific,96981
Pennsylvania,Northeast,Middle Atlantic,45333
Rhode Island,Northeast,New England,1214
South Carolina,South,South Atlantic,31055
South Dakota,North Central,West North Central,77047
Tennessee,South,East South Central,42244
Texas,South,West South Central,267339
Utah,West,Mountain,84916
Vermont,Northeast,New England,9609
Virginia,South,South Atlantic,40815
Washington,West,Pacific,68192
West Virginia,South,South Atlantic,24181
Wisconsin,North Central,East North Central,56154
Wyoming,West,Mountain,97914
